"track_name","track_short_name","track_type","track_type_short","track_length_mi"
"Atlanta Motor Speedway","Atlanta","0","I",NULL
"Auto Club Speedway","Auto Club","Intermediate","I",NULL
"Bristol Motor Speedway","Bristol","Short Track","ST",NULL
"Canadian Tire Motorsport Park","Canadian Tire","Road Course","RC",NULL
"Charlotte Motor Speedway","Charlotte","Intermediate","I",NULL
"Charlotte Motor Speedway Road Course","Charlotte Road Course","Road Course","RC",NULL
"Chicago Street Course","Chicago","Road Course","RC",NULL
"Chicagoland Speedway","Chicagoland","Intermediate","I",NULL
"Circuit of the Americas","COTA","Road Course","RC",NULL
"Daytona Road Course","Daytona Road Course","Road Course","RC",NULL
"Darlington Raceway","Darlington","Intermediate","I",NULL
"Daytona International Speedway","Daytona","0","S",NULL
"Dover Motor Speedway","Dover","Intermediate","I",NULL
"Eldora Speedway","Eldora","Short Track","ST",NULL
"Homestead-Miami Speedway","Homestead-Miami","Intermediate","I",NULL
"Indianapolis Motor Speedway","Indianapolis","Intermediate","I",NULL
"Indianapolis Motor Speedway Road Course","Indianapolis Road Course","Road Course","RC",NULL
"Iowa Speedway","Iowa","Short Track","ST",NULL
"Kansas Speedway","Kansas","Intermediate","I",NULL
"Kentucky Speedway","Kentucky","Intermediate","I",NULL
"Knoxville Raceway","Knoxville","Short Track","ST",NULL
"Las Vegas Motor Speedway","Las Vegas","Intermediate","I",NULL
"Los Angeles Memorial Coliseum","Los Angeles","Short Track","ST",NULL
"Lucas Oil Indianapolis Raceway","Lucas Oil Indianapolis","Short Track","ST",NULL
"Martinsville Speedway","Martinsville","Short Track","ST",NULL
"Michigan International Speedway","Michigan","Intermediate","I",NULL
"Mid-Ohio Sports Car Course","Mid-Ohio","Road Course","RC",NULL
"Milwaukee Mile Speedway","Milwaukee","Short Track","ST",NULL
"Nashville Superspeedway","Nashville","Intermediate","I",NULL
"New Hampshire Motor Speedway","New Hampshire","Intermediate","I",NULL
"North Wilkesboro Speedway","North Wilkesboro","Short Track","ST",NULL
"Phoenix Raceway","Phoenix","Intermediate","I",NULL
"Pocono Raceway","Pocono","Intermediate","I",NULL
"Portland International Raceway","Portland","Road Course","RC",NULL
"Richmond Raceway","Richmond","Short Track","ST",NULL
"Road America","Road America","Road Course","RC",NULL
"Sebring Raceway","Sebring","Road Course","RC",NULL
"Sonoma Raceway","Sonoma","Road Course","RC",NULL
"Talladega Superspeedway","Talladega","0","S",NULL
"Texas Motor Speedway","Texas","Intermediate","I",NULL
"Watkins Glen International","Watkins Glen","Road Course","RC",NULL
"World Wide Technology Raceway at Gateway","Gateway","Intermediate","I",NULL
